Time,active_power_0,active_power_1,active_power_2
00:00:00,30.361199999999997,38.5672,42.757200000000005
00:05:00,26.875600000000002,36.3236,39.266799999999996
00:10:00,26.460799999999995,37.5704,41.07840000000001
00:15:00,26.031599999999997,36.7588,40.80200000000001
00:20:00,26.1384,37.756,41.428
00:25:00,25.823199999999996,36.8056,40.27600000000001
00:30:00,26.136800000000004,36.906800000000004,42.174800000000005
00:35:00,25.662,33.8364,38.522400000000005
00:40:00,24.4252,34.9364,36.733200000000004
00:45:00,24.217599999999994,35.7288,38.468
00:50:00,23.584400000000002,34.856,34.9972
00:55:00,22.661600000000004,32.1412,33.6416
01:00:00,22.7816,31.560400000000005,33.756
01:05:00,23.2004,31.438000000000002,34.1872
01:10:00,22.9332,30.834000000000003,33.6704
01:15:00,23.044400000000003,32.6572,35.1968
01:20:00,22.937599999999993,30.9244,31.442800000000002
01:25:00,22.9036,31.7532,31.080000000000002
01:30:00,23.39,31.970400000000005,31.777999999999995
01:35:00,22.8012,32.802,33.926399999999994
01:40:00,22.587600000000005,28.7468,32.038
01:45:00,22.356399999999997,28.267999999999997,31.828400000000002
01:50:00,22.5244,28.104,29.376
01:55:00,22.315199999999997,26.474800000000002,28.521199999999997
02:00:00,22.6488,27.435599999999997,27.23
02:05:00,22.994000000000003,28.2272,28.0336
02:10:00,22.9612,28.276,26.7604
02:15:00,22.111199999999997,28.247599999999995,26.262400000000003
02:20:00,22.137200000000004,27.287599999999998,26.3704
02:25:00,21.6396,26.2652,26.2836
02:30:00,21.9704,26.1184,26.3592
02:35:00,21.8048,24.717200000000002,26.232400000000002
02:40:00,24.757199999999997,23.8448,27.285199999999996
02:45:00,25.142799999999998,24.3008,27.905600000000003
02:50:00,24.375999999999998,25.684,27.3024
02:55:00,23.6956,25.976799999999997,26.9604
03:00:00,22.790399999999998,25.382799999999996,26.627599999999997
03:05:00,22.6952,25.3256,27.465200000000003
03:10:00,22.781999999999996,26.0136,28.580000000000002
03:15:00,22.132400000000004,25.9264,28.696
03:20:00,21.460800000000006,25.3044,28.525600000000004
03:25:00,22.543999999999997,25.5056,29.122
03:30:00,23.0492,26.3016,27.807199999999998
03:35:00,23.497199999999996,26.437600000000003,28.1516
03:40:00,23.898400000000006,26.2352,27.534000000000002
03:45:00,23.740000000000002,25.9172,25.827199999999998
03:50:00,23.7864,25.8764,25.778400000000005
03:55:00,23.878800000000005,25.9472,26.188
04:00:00,23.618000000000006,25.678399999999996,26.0172
04:05:00,23.49520000000001,24.5568,24.34
04:10:00,23.3328,24.0248,24.1328
04:15:00,23.130799999999997,24.7008,23.7652
04:20:00,21.648000000000007,24.247999999999998,22.618799999999997
04:25:00,20.6068,25.476399999999998,22.695999999999998
04:30:00,21.323199999999996,25.1612,22.699999999999996
04:35:00,22.159200000000002,25.826800000000002,23.739200000000004
04:40:00,21.687600000000003,25.5796,23.809199999999997
04:45:00,22.101200000000002,25.4364,23.4164
04:50:00,21.792799999999996,26.8492,23.8096
04:55:00,22.724799999999995,26.3416,23.416
05:00:00,21.717599999999997,26.116800000000005,23.2468
05:05:00,21.9036,27.194000000000003,23.7952
05:10:00,22.516,27.821199999999997,25.795199999999998
05:15:00,22.477200000000003,27.3552,25.5008
05:20:00,22.011199999999995,27.112000000000002,26.4924
05:25:00,22.4512,26.9068,26.0112
05:30:00,22.7104,26.6128,26.1312
05:35:00,23.677199999999996,26.57,25.732
05:40:00,22.8988,25.48,25.065600000000003
05:45:00,23.481199999999994,24.5724,26.1844
05:50:00,23.4612,24.952399999999997,28.8612
05:55:00,22.826,31.703599999999994,32.1592
06:00:00,23.2148,30.4196,33.245999999999995
06:05:00,22.362000000000002,30.7156,31.3876
06:10:00,21.4456,29.6684,29.160400000000003
06:15:00,21.512400000000003,32.4824,30.116
06:20:00,27.778,39.4008,34.6896
06:25:00,29.176,44.1452,41.8176
06:30:00,30.731199999999994,46.7988,46.502
06:35:00,32.656,45.165200000000006,52.208
06:40:00,39.1472,54.948,64.3256
06:45:00,46.3616,63.0992,68.87639999999999
06:50:00,49.76239999999999,66.3424,76.65559999999999
06:55:00,54.96520000000001,77.9004,78.8296
07:00:00,55.1096,71.9856,76.75040000000001
07:05:00,55.5904,68.6948,69.8888
07:10:00,52.35000000000001,72.15960000000001,65.93239999999999
07:15:00,49.47799999999999,70.4228,67.4128
07:20:00,50.127199999999995,67.8012,63.4888
07:25:00,52.300799999999995,66.8452,64.5424
07:30:00,50.4976,68.3676,68.90960000000001
07:35:00,51.690000000000005,71.4168,69.3532
07:40:00,52.742,82.2876,76.00319999999999
07:45:00,52.89120000000001,74.634,74.47359999999999
07:50:00,53.23680000000001,70.9156,77.26400000000001
07:55:00,48.7544,67.32520000000001,72.7244
08:00:00,47.53680000000001,65.88640000000001,66.83239999999999
08:05:00,47.1436,68.3792,66.09719999999999
08:10:00,49.028800000000004,73.07159999999999,66.6364
08:15:00,48.1956,74.9824,67.44160000000001
08:20:00,45.7488,71.8168,67.3568
08:25:00,41.465599999999995,62.056,64.2612
08:30:00,43.219199999999994,60.57,64.93159999999999
08:35:00,46.870400000000004,60.5236,67.234
08:40:00,47.18919999999999,61.378800000000005,63.821600000000004
08:45:00,43.188,60.17,62.2908
08:50:00,41.1152,58.223600000000005,56.828
08:55:00,41.407599999999995,57.0376,58.2616
09:00:00,43.6896,60.275999999999996,57.7552
09:05:00,42.0064,60.7004,57.3932
09:10:00,42.27680000000001,56.959199999999996,59.68639999999999
09:15:00,41.423199999999994,55.1408,60.6008
09:20:00,41.20719999999999,57.3944,58.5272
