Time,reactive_power_0,reactive_power_1,reactive_power_2
00:00:00,3.9040000000000004,4.3152,4.4696
00:05:00,3.484,4.629200000000001,4.1564000000000005
00:10:00,3.459199999999999,4.619999999999999,4.4752
00:15:00,3.392,4.5924,4.9475999999999996
00:20:00,3.5723999999999996,5.0548,5.9079999999999995
00:25:00,3.4488000000000003,4.3988,5.917999999999999
00:30:00,3.8368000000000007,4.508799999999999,5.7208
00:35:00,3.7932,4.1876,5.188400000000001
00:40:00,2.9428,4.332800000000001,4.6444
00:45:00,2.6232,3.5660000000000003,3.7607999999999997
00:50:00,2.6496,3.5772,3.3716
00:55:00,2.316,3.886,3.2952000000000004
01:00:00,2.7124,3.7612,4.0084
01:05:00,3.0772000000000004,3.4791999999999996,4.416799999999999
01:10:00,2.9275999999999995,3.3048,4.302
01:15:00,3.0047999999999995,3.0392,4.1808
01:20:00,3.0328,3.1311999999999998,4.1388
01:25:00,2.5236,3.3971999999999998,3.5492
01:30:00,2.258800000000001,2.8888000000000003,2.9495999999999998
01:35:00,2.4248,3.3308,3.1412
01:40:00,2.2323999999999997,3.4299999999999997,3.2611999999999997
01:45:00,2.4608000000000003,3.1736,3.5879999999999996
01:50:00,2.678400000000001,3.2688,3.7672000000000003
01:55:00,2.5648,3.2392,3.6391999999999998
02:00:00,2.7516,3.2768,3.7136
02:05:00,2.854,3.6416,3.9832
02:10:00,2.4212,3.8148,3.2968
02:15:00,2.1896,3.2492,2.658
02:20:00,2.5868,3.544,2.9884
02:25:00,2.7095999999999996,3.3584000000000005,3.3327999999999998
02:30:00,3.1807999999999996,3.6616,3.8716
02:35:00,2.8663999999999996,3.5275999999999996,4.2868
02:40:00,3.3284000000000002,3.7808,4.5188
02:45:00,3.4744,4.0228,5.074800000000001
02:50:00,3.5804,5.0928,5.6192
02:55:00,3.1284,4.898000000000001,5.024
03:00:00,2.9835999999999996,4.1004000000000005,4.2672
03:05:00,2.8855999999999997,3.8288,4.1148
03:10:00,3.109600000000001,3.628,4.4356
03:15:00,2.7712000000000008,3.4604,4.5492
03:20:00,2.6031999999999997,2.5472,4.1972000000000005
03:25:00,2.8672000000000004,2.872,4.435600000000001
03:30:00,3.2412,3.8971999999999998,4.754
03:35:00,3.6035999999999997,4.4772,5.0848
03:40:00,3.1744,3.996,4.685199999999999
03:45:00,2.9492,3.2244,3.8112
03:50:00,2.9899999999999998,3.1224,3.776
03:55:00,3.1211999999999995,3.2308000000000003,4.0804
04:00:00,2.7652,3.1032,3.9248000000000003
04:05:00,2.5456000000000003,2.8528000000000002,3.1860000000000004
04:10:00,2.5191999999999997,2.8228,3.0912
04:15:00,2.5276,3.1944,2.7512
04:20:00,2.4196000000000004,3.4696,3.1431999999999998
04:25:00,2.3347999999999995,3.6712000000000002,3.3051999999999997
04:30:00,1.938,3.2300000000000004,3.1672000000000002
04:35:00,2.4,3.3612,3.7560000000000002
04:40:00,2.6628000000000003,3.292,4.0548
04:45:00,2.2364,2.9304,3.4428000000000005
04:50:00,2.5348,2.89,3.1188000000000002
04:55:00,2.6991999999999994,2.9124000000000003,2.9732000000000003
05:00:00,2.6435999999999993,3.4092000000000002,3.3175999999999997
05:05:00,2.7816000000000005,3.96,3.6484
05:10:00,2.9384,4.534800000000001,4.6524
05:15:00,2.396,4.098,4.568
05:20:00,2.2920000000000003,3.3296,4.121599999999999
05:25:00,2.7272,3.4236,3.6216
05:30:00,2.5728000000000004,3.1172,2.9916
05:35:00,2.5688000000000004,2.98,2.512
05:40:00,2.3999999999999995,2.8216,2.3804000000000003
05:45:00,2.3388,2.7832,2.8831999999999995
05:50:00,2.9759999999999995,3.5872,3.8468
05:55:00,2.9435999999999996,4.4156,4.679600000000001
06:00:00,2.4232,3.8724000000000003,4.6979999999999995
06:05:00,2.4524000000000004,3.2912,3.7904
06:10:00,3.3579999999999997,3.5684,4.074400000000001
06:15:00,3.2607999999999997,3.5632,3.7312
06:20:00,3.1856,3.3648,3.4524000000000004
06:25:00,3.3640000000000003,3.8095999999999997,3.8247999999999998
06:30:00,3.1319999999999997,3.6744,4.6268
06:35:00,3.2468,4.0920000000000005,4.684
06:40:00,2.7072000000000003,4.101999999999999,4.564
06:45:00,2.4,4.0368,4.7172
06:50:00,2.2768,3.2488,4.194400000000001
06:55:00,2.9572,2.9776,3.4772
07:00:00,3.4688,3.2988,3.5524000000000004
07:05:00,3.5128000000000004,3.6824,4.256
07:10:00,3.7744,4.1568000000000005,4.3756
07:15:00,4.0276,4.1864,4.6652
07:20:00,3.4556,3.95,4.1000000000000005
07:25:00,2.8571999999999997,4.3848,5.0724
07:30:00,2.2604,4.2916,5.2296
07:35:00,2.2168,3.6411999999999995,4.3252
07:40:00,2.6663999999999994,3.2867999999999995,3.1368
07:45:00,3.0072000000000005,3.5276,3.6368
07:50:00,3.2763999999999998,3.9419999999999997,4.239599999999999
07:55:00,3.390399999999999,4.336,4.3536
08:00:00,3.1819999999999995,4.0544,4.2956
08:05:00,2.7732,4.018,4.5556
08:10:00,2.4376,4.3908000000000005,4.8176
08:15:00,2.1544000000000003,3.6576,3.9252
08:20:00,2.5064,3.1504,3.4375999999999998
08:25:00,2.7808,2.9044,2.7824
08:30:00,3.3015999999999996,3.7504,3.3099999999999996
08:35:00,3.3236,4.2044,3.6964
08:40:00,3.6644,4.5476,4.2296000000000005
08:45:00,3.5512000000000006,4.6524,4.3148
08:50:00,3.0628,4.801200000000001,4.6944
08:55:00,2.5104000000000006,4.6876,4.6911999999999985
09:00:00,2.4972,4.0004,4.3932
